Name,Cateogry,Style,Person A,Person B,Person C,Person D,Person E,Person F,Person G,Person H,Person I,Person J,Person K,Person L,Person M,Person N,Person O,Person P,Person Q,Person R,Person S,Person T,Person U,Person V,Person W,Person X,Person Y,Person Z,Person AA,Person AB,Person AC,Person AD,Person AE,Person AF,
Opening,Troupe,Jazz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Ballet ,Varsity,Ballet,1,,1,1,,1,1,,,,1,,,,1,,1,,,,,1,,1,1,,,,1,1,1,,
Contemp ,Varsity,Contemp,,,1,,,,1,1,1,1,1,1,,,1,1,1,1,,1,,,1,1,1,,,,,1,,,
Heels,Troupe,Commercial,1,,,,,,1,,,1,,,1,1,1,1,1,,1,,1,,,,,1,,1,,1,1,1,
Hip Hop,Varsity,Hip Hop,1,1,,,1,,,,,,,1,,1,,1,,1,,1,1,,1,,,1,1,1,,1,1,,
Lyrical ,Troupe,Lyrical,,,1,1,,1,,1,1,,1,1,,,,1,1,,1,,,1,,,,,,,1,,,1,
Jazz,Varsity,Jazz,,1,1,,,,,1,,1,,,1,1,1,1,,1,,1,,,1,1,1,1,,,,1,1,,
Tap ,Varsity,Tap,,1,1,,1,,,,1,,,,1,,,,,,,1,,,1,,,,1,,,,,1,
Wildcard ,Varsity,MT,,,,,,,1,1,,1,,1,1,1,1,1,,,1,1,1,,,,,,1,1,,1,1,1,
‘Ameksa (District 78 Remix)’ ,Small Group,Spanish,,,1,1,,1,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,
‘Back to Black (Amy Winehouse)’ ,Large Group,Commercial,,,,,,,1,1,,,,,1,1,1,1,1,,1,,,,,1,,1,,,,,,,
‘Blue Bannisters (Lana Del Rey) ,Small Group,Lyrical,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,1,,,1,
‘Greased Lightnin’ (Grease)’,Small Group,MT,,,,,,,,1,,1,,,,,,,,,,1,,,1,,1,,,,1,,,,
‘It’s Raining Men (The Weather Girls) ,Large Group,Jazz,,,,,,,,,1,1,,,,1,,1,1,,,,1,,,1,,1,1,,,1,,1,
‘Macavity (Cats)’ ,Large Group,MT,,,,,,,1,,,,,,1,1,,,,1,,,,,1,1,,1,1,,,1,1,1,
‘Commercial Mashup (Dem Beats etc.),Small Group,Commercial,1,,,,,,,,,,,,,1,,,,1,,,1,,,,,1,,,1,,1,,
‘Tanguera (by Sexteto Major),Small Group,Spanish,,,,,,1,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,
‘Water in the Rain (Kae Tempest)’ ,Small Group,Contemp,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,,,,,,,,1,
SD - Ana Solo,Solo,Ballet,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD - Cam Solo,Solo,Tap,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD - Elizabeth Solo,Solo,Ballet,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
SD - Esther Solo,Solo,Contemp,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
SD - Maddie Solo,Solo,Commercial,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
SD - Miranda Solo,Solo,Contemp,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
SD - Stefania Solo (Wanda's perfect life),Solo,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
SD - Zarmina Solo,Solo,Contemp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
SD - Esther and Gillian Duet ,Duet,Contemp,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
SD - Josh and Tiggy Duet,Duet,Contemp,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
